176,11550,19510,-26702,6771,9273,-31790,22550
177,11616,19917,-26582,6231,9865,-31912,22013
178,11682,20387,-26474,5659,10530,-31986,21483
179,11748,20781,-26347,5141,11150,-32023,20974
180,11814,21255,-26218,4551,11854,-32200,20397
181,11880,21722,-26066,4020,12524,-32195,19905
182,11946,22113,-25939,3435,13113,-32231,19536
183,12012,22545,-25750,2906,13759,-32382,18851
184,12078,22942,-25603,2300,14317,-32471,18396
185,12144,23324,-25394,1748,14828,-32437,17715
186,12210,23731,-25247,1219,15467,-32441,17113
187,12276,24045,-24928,498,15929,-32494,16595
188,12342,24350,-24851,-14,16591,-32578,15909
189,12408,24777,-24517,-650,17020,-32735,15339
190,12474,25159,-24360,-1199,17701,-32616,14639
191,12540,25470,-24047,-1756,18349,-32614,14063
192,12606,25856,-23688,-2415,18722,-32593,13484
193,12672,25983,-23408,-2988,19367,-32364,12943
194,12738,26354,-23144,-3593,19836,-32289,12228
195,12804,26481,-22795,-4213,20428,-32331,11525
196,12870,26940,-22555,-4881,20843,-32209,10984
197,12936,27187,-22181,-5433,21529,-32150,10279
198,13002,27486,-21852,-6018,22012,-32021,9791
199,13068,27764,-21482,-6652,22611,-31752,9186
200,13134,27922,-21074,-7224,23259,-31588,8549
201,13200,28159,-20676,-7871,23649,-31334,7895
202,13266,28353,-20274,-8418,23940,-31148,7224
203,13332,28514,-19889,-9138,24599,-30930,6596
204,13398,28737,-19472,-9661,24939,-30750,5852
205,13464,29036,-18954,-10269,25417,-30498,5327
206,13530,29165,-18643,-10817,25937,-30240,4787
207,13596,29291,-18085,-11343,26256,-30004,3958
208,13662,29380,-17809,-11913,26667,-29729,3338
209,13728,29512,-17249,-12650,27023,-29533,2682
210,13794,29547,-16857,-13137,27459,-29219,1842
211,13860,29700,-16336,-13689,27749,-29018,1217
212,13926,29877,-15872,-14348,28170,-28695,520
213,13992,29889,-15390,-14867,28625,-28317,-201
214,14058,29936,-14797,-15479,28875,-28088,-903
215,14124,29889,-14211,-16059,29149,-27869,-1651
216,14190,29941,-13869,-16577,29348,-27282,-2315
217,14256,29963,-13187,-17150,29666,-26893,-3105
218,14322,29979,-12652,-17722,29885,-26498,-3632
219,14388,29978,-12137,-18250,30137,-26120,-4362
220,14454,29987,-11605,-18846,30440,-25669,-5007
221,14520,29997,-11055,-19329,30781,-25370,-5734
222,14586,29976,-10495,-19928,30810,-24851,-6363
223,14652,29744,-9898,-20286,31076,-24435,-7046
224,14718,29750,-9281,-20844,31280,-24040,-7528
225,14784,29688,-8759,-21282,31505,-23517,-8373
226,14850,29483,-8104,-21843,31670,-22885,-8887
227,14916,29442,-7452,-22316,31929,-22527,-9588
228,14982,29284,-6889,-22781,32040,-22071,-10153
229,15048,29181,-6276,-23303,32303,-21477,-10736
230,15114,29004,-5670,-23725,32386,-20988,-11528
231,15180,28777,-5052,-24277,32416,-20272,-12183
232,15246,28518,-4344,-24550,32523,-19818,-12696
233,15312,28358,-3772,-24993,32532,-19208,-13230
234,15378,28160,-3156,-25431,32727,-18710,-13855
235,15444,27973,-2516,-25840,32921,-18104,-14469
236,15510,27804,-1842,-26286,32855,-17604,-15083
237,15576,27441,-1096,-26664,32854,-16993,-15620
238,15642,27150,-589,-26996,32680,-16365,-16289
239,15708,26789,99,-27360,32712,-15981,-16845
240,15774,26528,662,-27698,32620,-15288,-17493
241,15840,26306,1360,-28046,32556,-14858,-18216
242,15906,26023,1999,-28397,32534,-14254,-18713
