1872,18709999,54955,57028,58307,49581,706933,706370,710006,59084,52894,51824,57050,54308,61224,374843,58286,59582,49703,327495,49569,50060,48013,865859,54827,55035,54172,870728,54840,-25895,707767,-36825,68016,-3115,2610,41820,42483,-24146,983,-28510,30727,333608,40115,138860,-22725,30004,17201,-36866,50536,6765,49537880,49539261,49540570,50000388,50000057,49999897,59468,60641,53946,711084,708458,704559,29564461,21644868,20138445,732124,3502975,3366399,3258742,734869,3825693,2061734,7655451,733825,5431574,3929872,6969096,733609,54140,55025
1873,18719999,25248,27043,28248,20517,707207,706575,709865,29159,23649,22537,27064,24557,31944,357290,28246,29667,20746,336499,20508,20975,19090,876851,25060,25239,24499,873643,25069,38889,707879,28624,62011,32211,2506,-18021,18116,10801,1026,26330,61284,320354,37422,145095,38747,-3612,-46931,28565,-14914,-58693,49521325,49522343,49524201,50000202,49999924,49999931,31583,33262,25767,711084,708458,704559,29565374,21639897,20145128,731933,3497285,3350285,3265506,732542,3821079,2045750,7704285,729015,5426511,3913136,6989521,731167,24472,25231
1874,18729999,9897,9294,11036,9391,707341,706536,709803,10237,10528,8752,9303,8744,10267,370106,11034,10802,11067,313641,9385,9939,7619,907870,9873,9891,9817,868975,9871,-25823,707890,-36833,13225,9725,2550,42496,7957,-22881,1137,-32818,33193,325909,41741,160683,-22377,30880,15345,-36880,50534,6760,49518193,49518815,49520974,50000003,49999874,49999973,10043,12677,10277,711084,708458,704559,29563618,21641855,20140446,732043,3499829,3360258,3259354,734188,3822127,2054200,7672557,731825,5428210,3922508,6974954,732689,9814,9889
1875,18739999,21857,18873,21495,25182,707149,706593,709758,17780,24881,22453,18886,19916,14031,415236,21494,18363,28370,273712,25167,25833,23140,880043,21678,21515,22158,860921,21660,39416,707829,28625,55675,-4949,2530,-18631,20263,11684,1090,25697,63681,323370,48444,154134,33772,-53,-47069,28566,-14909,-58696,49529354,49529473,49531907,49999835,49999908,50000007,22653,25405,29879,711084,708458,704559,29573186,21637608,20159049,731663,3520890,3386754,3271836,735551,3843624,2082283,7643892,737680,5449865,3950420,6977415,734970,22181,21522
1876,18750000,50769,47491,49893,54865,706777,706461,709870,45442,54179,51688,47499,48874,39945,405166,49881,45967,58125,295235,54842,55456,52914,866979,50645,50450,51217,864097,50629,-25621,707700,-36825,68821,31000,2598,40993,46570,-23533,959,-29265,33676,332210,47631,135419,-25350,31878,17155,-36863,50538,6764,49550422,49549785,49552502,49999756,50000000,50000015,22653,25405,29879,713613,705317,705404,29580945,21645700,20161746,731745,3554748,3408970,3315050,733325,3875365,2104214,7686213,739344,5482943,3973502,7021624,734804,51244,50459
1877,18760000,73152,71649,73626,74141,706525,706562,709856,70714,74686,72628,71636,71721,66870,394236,73618,71247,76374,310054,74108,74677,72251,863961,73114,73061,73251,866810,73116,39180,707645,28632,25891,-655,2661,-20514,66827,10734,944,29177,8773,340340,47329,133416,35864,-1857,-46402,28581,-14904,-58695,49563438,49562088,49564789,49999794,50000095,49999992,51013,52570,57927,713613,705317,705404,29583220,21640235,20170951,731504,3553336,3408159,3313119,733442,3876410,2105018,7687242,739427,5482843,3973368,7021627,734792,73257,73063
1878,18770000,70470,71506,72940,66979,706625,706531,709919,72548,69397,68076,71502,69636,72511,383492,72930,73054,67673,320918,66956,67450,65335,863705,70407,70542,69975,869094,70421,-25826,707689,-36824,40037,-4405,2712,40015,61125,-23821,995,-29187,14086,346855,44947,140606,-23410,30441,17282,-36862,50543,6759,49553974,49552105,49554745,49999946,50000160,49999935,72631,72711,75012,713613,705317,705404,29569408,21646141,20144342,732044,3519822,3385604,3270983,735524,3841942,2080759,7643233,737463,5448279,3949520,6974867,735016,69953,70535
1879,18780000,44894,47185,48309,39248,706920,706466,709893,49414,42665,41760,47203,44342,52155,369903,48297,49888,39128,330923,39232,39673,37852,866993,44728,44948,44040,871695,44744,38974,707757,28627,72813,31200,2634,-18945,33940,10423,1047,27608,40315,336812,39278,148081,37835,-3184,-46525,28570,-14906,-58695,49533654,49531285,49534078,50000160,50000172,49999852,72363,71035,68233,713613,705317,705404,29565865,21639935,20145807,731922,3499582,3359032,3260246,733973,3823019,2054255,7676172,731674,5428644,3921950,6977308,732526,44007,44937
1880,18790000,17584,18684,20136,13991,707265,706314,709885,20570,16711,15220,18701,16652,22764,350626,20127,21147,14753,336602,13985,14517,12348,889960,17423,17556,17009,874030,17432,-26039,707818,-36833,47778,-655,2583,43104,10823,-25573,1094,-31176,67903,330135,32152,154681,-20983,29327,16176,-36880,50532,6762,49521469,49518811,49521611,50000343,50000126,49999745,50411,48758,42522,713613,705317,705404,29562830,21641651,20139509,732055,3497794,3351860,3264754,732780,3819859,2044954,7702431,728964,5426037,3913348,6987773,731270,16989,17549
1881,18799999,10860,9317,11426,11848,707250,706447,709775,9641,12358,10407,9325,9447,8349,398924,11422,10195,14117,285940,11841,12429,9998,899910,10812,10759,10970,863146,10806,39328,707820,28623,21192,-9717,2558,-17650,13087,8640,1124,25435,48589,326940,62717,158871,35419,-615,-47952,28560,-14911,-58695,49522904,49520382,49522958,50000434,50000053,49999642,22149,22298,16599,713613,705317,705404,29566876,21637051,20150389,731799,3504058,3368491,3258554,735098,3826764,2062563,7656499,733914,5432790,3930739,6970683,733606,10977,10761
1882,18809999,30576,27293,29788,34606,706946,706449,709825,25583,33965,31544,27304,28640,20906,413031,29780,26123,37844,281026,34589,35209,32697,872715,30390,30197,30959,861931,30372,-25536,707737,-36829,66501,30077,2678,41723,30058,-24053,1060,-32153,54246,342483,51248,149858,-26175,32565,16916,-36876,50540,6761,49537918,49535744,49538083,50000404,49999981,49999562,10510,14368,14837,713613,705317,705404,29573121,21642801,20153378,731839,3533328,3396431,3285998,735056,3853564,2090254,7652317,738594,5461009,3959569,6989465,735168,30986,30205
1883,18819999,60239,57306,59693,63660,706524,706424,709924,55489,63276,60778,57295,58378,50181,401212,59676,56053,66758,300922,63638,64268,61639,865864,60149,59985,60624,865079,60141,39250,707621,28631,59745,-2748,2776,-19707,54685,10743,970,28242,24612,355075,47086,136965,35217,-1357,-46478,28574,-14900,-58694,49558200,49556572,49558449,50000278,49999935,49999524,32573,37778,40172,713613,705317,705404,29584817,21638421,20175239,731403,3559657,3411882,3321658,732939,3881706,2107923,7697620,739437,5488739,3976554,7031428,734592,60645,59992
1884,18829999,75390,74773,76505,74865,706345,706332,710070,74452,75995,74243,74739,74176,71771,390795,76472,74937,76476,313941,74855,75382,73117,863409,75349,75361,75291,867568,75364,-25761,707579,-36822,7571,-25127,2825,40404,64552,-24250,896,-26997,2489,361381,44355,126566,-24023,30867,17299,-36861,50544,6764,49563274,49562450,49563614,50000110,49999931,49999535,60389,63874,66677,713613,705317,705404,29575355,21644731,20154583,731849,3543483,3402515,3299618,734262,3865353,2097921,7670129,739042,5471998,3966929,7004790,735056,75287,75360
1885,18840000,63685,65383,66638,59067,706510,706423,709969,66968,61951,60885,65369,63002,68108,379509,66619,67435,59311,324295,59050,59508,57559,864023,63583,63762,63016,869879,63606,39053,707632,28631,56733,30301,2694,-19433,48609,9713,872,29720,22098,344631,39574,123157,37098,-2726,-46400,28576,-14907,-58690,49547031,49546997,49547645,49999954,49999969,49999589,75492,74829,75427,713613,705317,705404,29567192,21637917,20149923,731821,3509591,3375627,3261631,735494,3833348,2071492,7646289,735825,5438784,3939248,6969742,734384,62988,63754
1886,18850000,34816,36875,38255,29386,706965,706350,709933,39258,32904,31675,36891,34045,42230,363395,38240,39827,29596,333670,29376,29909,27749,872909,34625,34834,33970,872681,34642,-25979,707746,-36829,70715,-2111,2683,42407,24604,-24926,1005,-31179,50574,343078,36779,142002,-21878,29558,16912,-36876,50538,6765,49527413,49527886,49528321,49999835,50000038,49999676,66422,62669,60037,713613,705317,705404,29560465,21638892,20139004,732020,3498111,3354357,3262571,733259,3820238,2047883,7691538,729935,5426236,3916015,6982845,731742,33938,34824
1887,18860000,12229,12548,14061,10121,707272,706390,709933,13979,12065,10444,12559,11217,15215,351697,14056,14546,11276,331536,10118,10648,8447,902258,12138,12216,11894,873013,12142,38917,707861,28621,29312,-32740,2676,-17277,7712,12390,1144,25453,59808,342147,32891,161724,39126,-3230,-48063,28555,-14909,-58696,49519257,49520054,49520299,49999764,50000114,49999787,39914,36601,32260,713613,705317,705404,29562578,21634207,20147135,731810,3498154,3354767,3262193,733340,3821380,2048713,7692901,730013,5426931,3916419,6983939,731724,11882,12212
1888,18870000,14956,12659,14948,17255,707294,706269,710096,12156,17246,15171,12671,13323,9570,414050,14940,12677,19901,271838,17253,17853,15416,887155,14828,14714,15163,860801,14814,-25490,707882,-36833,39551,28138,2743,43541,15470,-21853,1111,-31448,66147,350682,54079,157021,-26295,-32918,16301,-36885,50536,6762,49525265,49526265,49526353,49999718,50000164,49999912,14651,13628,10300,713613,705317,705404,29564577,21638712,20145233,731912,3511155,3377963,3262138,735676,3832451,2071315,7643160,735934,5439008,3940091,6968617,734511,15178,14719
1889,18879999,40653,37174,39784,44950,706981,706387,710008,35240,44261,41641,37191,38621,29985,408903,39770,35805,48422,288434,44940,45607,42884,870102,40496,40290,41105,863011,40473,39331,707789,28627,71272,-3650,2671,-17757,40185,11452,981,27231,43627,341624,51415,138515,34449,-734,-46647,28564,-14909,-58690,49543975,49545013,49544994,49999691,50000179,50000026,17067,23187,22263,713613,705317,705404,29578780,21635611,20169398,731457,3544836,3403775,3300922,734254,3867031,2099426,7670843,739252,5473709,3967826,7007694,734992,41133,40298
1890,18889999,67853,65599,67664,70241,706692,706413,709997,64068,70174,67995,65602,66270,59357,397776,67643,64556,72838,305748,70224,70792,68385,864304,67800,67680,68142,865902,67791,-25697,707698,-36827,45338,32232,2680,41567,57769,-24246,877,-29261,16569,342817,44128,123832,-24653,31326,17265,-36869,50536,6766,49561626,49562671,49562328,49999676,50000164,50000122,43435,50548,50606,713613,705317,705404,29579104,21643701,20161191,731723,3559456,3411525,3321656,732904,3880977,2107104,7698039,739289,5487936,3976213,7029902,734636,68157,67685
1891,18899999,74472,74718,76281,72411,706748,706348,710007,75087,74186,72676,74727,73482,73773,387205,76250,75566,73515,317501,72395,72902,70719,863385,74434,74507,74189,868286,74442,39117,707698,28630,20000,27470,2718,-18791,59810,10187,991,28885,6656,347601,41606,139961,36464,-2294,-46376,28572,-14904,-58692,49559154,49560390,49559509,49999672,50000118,50000183,68555,71622,72392,713613,705317,705404,29574401,21638781,20159572,731673,3530842,3394195,3283511,735089,3854885,2090928,7655124,738579,5460424,3958886,6989255,735120,74176,74503
1892,18909999,55011,57033,58404,49648,706976,706270,710050,59129,53006,51835,57059,54286,61312,374633,58374,59657,49833,327417,49639,50161,47994,866382,54882,55086,54238,870669,54897,-25896,707762,-36829,67809,-2993,2768,42490,41664,-23968,1051,-30490,30602,353992,39301,148615,-22719,30011,17178,-36877,50541,6763,49539685,49541058,49539880,49999672,50000042,50000210,74858,72178,72529,713613,705317,705404,29562185,21640766,20139515,732041,3503161,3366963,3258476,734953,3825666,2061561,7656081,733768,5431517,3929733,6969224,733590,54207,55076
