90,5874,-17659,-12757,30127,-29097,2576,26511
91,5940,-17067,-13276,30109,-28832,1896,26879
92,6006,-16577,-13798,30046,-28497,1307,27211
93,6072,-15992,-14258,30018,-28241,588,27415
94,6138,-15381,-14847,29970,-27942,-39,27948
95,6204,-14854,-15378,29855,-27583,-660,28185
96,6270,-14288,-15882,29864,-27310,-1351,28529
97,6336,-13761,-16388,29758,-26914,-1977,28862
98,6402,-13166,-16871,29686,-26531,-2724,29181
99,6468,-12582,-17322,29573,-26180,-3399,29408
100,6534,-11937,-17789,29413,-25689,-4072,29631
101,6600,-11383,-18194,29280,-25279,-4619,29828
102,6666,-10770,-18673,29121,-24818,-5360,30072
103,6732,-10205,-19117,29015,-24393,-6012,30431
104,6798,-9602,-19632,28848,-23955,-6831,30592
105,6864,-9008,-19999,28669,-23468,-7534,30792
106,6930,-8414,-20370,28413,-23045,-8233,30996
107,6996,-7850,-20688,28159,-22540,-8729,31061
108,7062,-7218,-21088,27950,-22135,-9450,31349
109,7128,-6601,-21475,27725,-21654,-10040,31560
110,7194,-5999,-21848,27559,-21028,-10680,31583
111,7260,-5367,-22203,27282,-20666,-11313,31857
112,7326,-4801,-22529,26981,-19982,-11866,31973
113,7392,-4271,-22860,26756,-19603,-12609,32009
114,7458,-3583,-23123,26325,-19054,-13298,32127
115,7524,-3039,-23498,26116,-18486,-13814,31989
116,7590,-2401,-23582,25794,-17970,-14455,32122
117,7656,-1812,-23994,25477,-17442,-14880,32222
118,7722,-1245,-24276,25149,-16829,-15563,32258
119,7788,-587,-24518,24893,-16328,-16204,32309
120,7854,30,-24863,24471,-15688,-16725,32225
121,7920,588,-24947,24096,-15087,-17297,32251
122,7986,1126,-25213,23741,-14339,-17905,32138
123,8052,1742,-25348,23337,-13891,-18509,32143
124,8118,2354,-25601,22892,-13176,-18944,32124
125,8184,2875,-25791,22583,-12585,-19455,32024
126,8250,3566,-25859,22124,-12100,-20118,32057
127,8316,4035,-26113,21760,-11357,-20605,31944
128,8382,4720,-26333,21347,-10860,-21173,31831
129,8448,5206,-26391,20942,-10064,-21677,31614
130,8514,5726,-26436,20437,-9579,-22103,31627
131,8580,6223,-26629,20012,-8777,-22601,31431
132,8646,6786,-26617,19628,-8094,-23120,31249
133,8712,7322,-26795,19079,-7537,-23512,30956
134,8778,7831,-26814,18713,-7073,-24078,30842
135,8844,8277,-26905,18186,-6269,-24439,30625
136,8910,8887,-26842,17744,-5615,-24890,30318
137,8976,9405,-26831,17199,-4853,-25107,29844
138,9042,9777,-26837,16753,-4180,-25611,29891
139,9108,10360,-26912,16301,-3537,-26015,29549
140,9174,10820,-26891,15769,-2802,-26602,29213
141,9240,11339,-26877,15023,-2158,-27006,29075
142,9306,11791,-26875,14769,-1411,-27407,28633
143,9372,12354,-26831,14230,-679,-27804,28497
144,9438,12716,-26746,13734,29,-28290,28143
145,9504,13207,-26648,13180,514,-28356,27768
146,9570,13473,-26547,12633,1304,-28801,27341
147,9636,13972,-26436,12148,1754,-29163,26962
148,9702,14464,-26495,11598,2460,-29336,26703
149,9768,14816,-26298,11094,3013,-29614,26386
150,9834,15176,-26065,10568,3737,-29895,25986
151,9900,15632,-26039,10130,4244,-30201,25827
152,9966,16006,-25944,9528,5165,-30402,25186
153,10032,16331,-25709,9074,5761,-30647,24612
154,10098,16712,-25562,8390,6437,-30993,24311
155,10164,16952,-25318,7945,7282,-31184,23849
156,10230,17413,-25151,7452,7838,-31443,23429
157,10296,17801,-24981,6823,8620,-31666,22897
158,10362,18108,-24668,6199,9362,-31723,22455
159,10428,18359,-24468,5795,9847,-31896,21802
160,10494,18621,-24172,5239,10561,-31953,21510
161,10560,18852,-23976,4743,11150,-31932,20902
162,10626,19150,-23764,4217,11874,-32217,20462
163,10692,19474,-23555,3538,12494,-32257,19958
164,10758,19735,-23238,3144,13065,-32268,19225
165,10824,19959,-22898,2535,13771,-32413,18896
166,10890,20223,-22675,2086,14312,-32533,18394
167,10956,20380,-22348,1603,14898,-32568,17614
168,11022,20646,-22042,1069,15420,-32527,17086
169,11088,20773,-21708,551,16164,-32590,16336
170,11154,21050,-21368,-34,16542,-32586,15893
